OBJECTID,Label,Route,Direction,Type_,Exit_Num,Ramp_Num,Beg_MP,End_MP,Speed_Limit,RteDirID,Shape_Length
1,0147P,0147,P,M,,,8.163,11.136,50,339,6233.22532310655
2,0089P,0089,P,M,,,336.171,344.717,40,1384,17850.4057297343
3,0101P,0101,P,M,,,0.454,0.752,40,1391,643.803050582927
4,0256P,0256,P,M,,,0,1.43,55,360,2982.34262686286
5,0040P,0040,P,M,,,148.71,149.949,55,310,2624.54803634437
6,0132P,0132,P,M,,,56.126,58.947,60,1411,5918.91967531668
7,0152P,0152,P,M,,,2.379,3.044,40,1424,1386.78230999549
8,0089P,0089,P,M,,,116.743,117.226,55,1384,989.987845709217
9,0059P,0059,P,M,,,20.629,21.826,40,315,2427.52864341973
10,0130P,0130,P,M,,,1.501,2.18,35,1410,1359.88513184397
11,0186P,0186,P,M,,,5.075,8.398,40,402,7122.5039610791
12,0035P,0035,P,M,,,7.046,12.553,45,1346,11619.5150117019
13,0016P,0016,P,M,,,19.663,20.227,55,1334,1202.87871782221
14,0115P,0115,P,M,,,0.925,1.343,45,1401,880.424826293491
15,0010P,0010,P,M,,,38.652,39.109,55,1327,948.502050494299
16,0293P,0293,P,M,,,0,1.197,,1286,2481.87414731264
17,0010P,0010,P,M,,,63.826,65.658,55,1327,3825.07080020913
18,0020P,0020,P,M,,,10.367,11.853,35,1337,3039.79789917692
19,0089P,0089,P,M,,,241.535,241.757,45,1384,462.167550218788
20,0099P,0099,P,M,,,1.547,2.027,35,1390,994.296205325044
21,0224P,0224,P,M,,,4.745,5.269,40,357,1109.21928724056
22,0040P,0040,P,M,,,114.681,115.535,35,310,1805.69760529002
23,0191P,0191,P,M,,,79.673,84.288,55,350,9464.94355152734
24,0012P,0012,P,M,,,41.32,57.513,60,1328,33088.5275191071
25,0122P,0122,P,M,,,0.465,8.751,55,1406,17338.4029992673
26,0172P,0172,P,M,,,0,6.306,45,1436,13432.0703189115
27,0084P,0084,P,M,,,107.042,119.773,70,1381,27246.5054748086
28,0109P,0109,P,M,,,1.535,2.962,50,1397,3040.88397277707
29,0266P,0266,P,M,,,0,0.882,40,431,1918.63476483139
30,0028P,0028,P,M,,,39.831,41.269,35,1342,3033.97913731073
31,0050P,0050,P,M,,,158.128,158.527,30,1356,841.123404168945
32,0077P,0077,P,M,,,7.456,8.868,45,1375,2977.64748563511
33,0204P,0204,P,M,,,0,3.724,40,413,8009.49835436188
34,0036P,0036,P,M,,,52.936,53.232,45,1347,625.54760391299
35,0068P,0068,P,M,,,60.869,62.635,45,1368,3763.38863779899
36,0013P,0013,P,M,,,9.233,12.011,55,1329,6010.0127305939
37,0161P,0161,P,M,,,0.911,1.196,35,1431,589.408887848953
38,0089P,0089,P,M,,,427.474,428.335,45,1384,1833.53703658337
39,0102P,0102,P,M,,,15.409,16.003,40,1392,1284.57331066888
40,0256P,0256,P,M,,,1.76,2.572,35,360,1686.88906989136
41,0143P,0143,P,M,,,18.267,19.604,35,1418,2683.23331222098
42,0050P,0050,P,M,,,116.158,116.765,45,1356,1260.28773443566
43,0198P,0198,P,M,,,6.007,6.521,45,408,1078.13463114972
44,0006P,0006,P,M,,,89.676,90.612,45,1332,1958.77275395909
45,0009P,0009,P,M,,,7.309,8.382,45,1326,2165.23268976576
46,0024P,0024,P,M,,,52.831,55.038,65,1340,4534.37597213578
47,0015N,0015,N,M,,,145.577,243.926,80,6661,205196.913327353
48,0066P,0066,P,M,,,11.645,12.492,40,317,1809.32179359639
49,0089P,0089,P,M,,,495.643,498.031,50,1384,5176.81327470087
50,0072P,0072,P,M,,,6.795,6.873,40,1371,160.463527989627
51,0154P,0154,P,M,,,0.644,0.93,45,1426,602.37904472549
52,0089P,0089,P,M,,,278.075,278.505,40,1384,900.779625940519
53,0091P,0091,P,M,,,39.02,40.258,45,324,2677.56765601837
54,0235P,0235,P,M,,,2.883,3.202,40,424,687.152913293692
55,0040P,0040,P,M,,,121.605,123.97,60,310,4980.99759821948
56,0134P,0134,P,M,,,0,7.041,40,1412,15165.6180329187
57,0191P,0191,P,M,,,124.723,125.295,35,350,1186.10632310358
58,0087P,0087,P,M,,,27.979,28.837,45,323,1812.46684252778
59,0060P,0060,P,M,,,6.228,7.496,45,1363,2669.16286941114
60,0128P,0128,P,M,,,24.369,34.915,45,1319,21818.9163953053
61,0189P,0189,P,M,,,8.274,24.955,55,403,35139.4150041498
62,0032P,0032,P,M,,,27.93,29.053,30,1345,2399.5541026218
63,0087P,0087,P,M,,,23.031,27.979,55,323,10446.2126479963
64,0114P,0114,P,M,,,10.421,10.845,40,330,929.473981444372
65,0310P,0310,P,M,,,0,0.353,,444,723.308119479409
66,0020P,0020,P,M,,,11.853,20.492,65,1337,17747.316968077
67,0024P,0024,P,M,,,90.21,94.827,55,1340,9482.82725552925
68,0082P,0082,P,M,,,0,1.738,40,1379,3780.57655572724
69,0215N,0215,N,M,,,18.86,21.439,60,6665,5464.03683705372
70,0036P,0036,P,M,,,57.378,65.238,60,1347,16666.9334514404
71,0070P,0070,P,M,,,73.073,138.697,80,1370,135612.774402235
72,0012P,0012,P,M,,,28.746,29.535,40,1328,1606.85074509518
73,0121P,0121,P,M,,,26.674,35.592,60,1405,18806.1857611872
74,0158P,0158,P,M,,,4.515,11.691,40,1429,15225.7872696897
75,0083P,0083,P,M,,,0,17.928,65,1380,38544.0053136276
76,0112P,0112,P,M,,,0.672,1.092,50,1399,894.108567862685
77,0266P,0266,P,M,,,0.882,2.415,50,431,3248.42687473087
78,0121P,0121,P,M,,,24.051,26.674,55,1405,5530.01820654284
79,0048P,0048,P,M,,,2.09,2.579,35,312,1055.48479124853
80,0074P,0074,P,M,,,4.577,5.058,40,319,1053.42055611165
81,0201N,0201,N,M,,,0,7.458,60,410,15860.2013214678
82,0006P,0006,P,M,,,220.927,228.51,60,1332,15951.0749874079
83,0070P,0070,P,M,,,0,5.543,80,1370,11452.3854129062
84,0149P,0149,P,M,,,0,4.156,55,1422,8798.25505883719
85,0089P,0089,P,M,,,398.19,410.051,55,1384,25127.2046197846
86,0012P,0012,P,M,,,68.873,71.558,30,1328,5505.36731350348
87,0119P,0119,P,M,,,0,4.152,60,1404,8608.32514752832
88,0165P,0165,P,M,,,0.512,0.963,40,345,972.277725909942
89,0085N,0085,N,M,,,5.069,13.332,55,6765,17590.9870944927
90,0113P,0113,P,M,,,6.697,7.141,30,1400,946.224100634611
91,0282P,0282,P,M,,,0,1.152,25,435,2486.48611771113
92,0119P,0119,P,M,,,4.152,6.58,55,1404,4995.53613899677
93,0028P,0028,P,M,,,38.217,39.831,45,1342,3390.11613625809
94,0051P,0051,P,M,,,3.187,3.339,30,1357,374.308372659728
95,0079P,0079,P,M,,,5.416,5.705,45,1376,650.313690495794
96,0199P,0199,P,M,,,0,7.773,60,409,16417.2347694235
97,0036P,0036,P,M,,,21.88,47.395,65,1347,53801.6531747757
98,0068P,0068,P,M,,,23.922,29.327,45,1368,11440.481866124
99,0160P,0160,P,M,,,2.627,3.808,40,1430,2418.58458815981
100,0089P,0089,P,M,,,411.642,413.089,40,1384,3083.13431275497
101,0106P,0106,P,M,,,6.833,7.427,35,1395,1279.09966179638
102,0264P,0264,P,M,,,0,0.702,35,430,1477.28992957339
103,0138P,0138,P,M,,,19.485,20.15,50,1414,1412.17929817032
104,0050P,0050,P,M,,,90.223,90.646,55,1356,886.791577485743
105,0193P,0193,P,M,,,5.256,9.432,55,405,8943.66374073943
106,0006P,0006,P,M,,,139.211,139.465,45,1332,527.799219656934
107,0132P,0132,P,M,,,48.311,53.949,65,1411,11831.9417855106
108,0035P,0035,P,M,,,29.732,31.505,45,1346,3747.54169593895
109,0023P,0023,P,M,,,19.834,27.888,60,1339,17413.2677772186
110,0015P,0015,P,M,,,345.763,366.319,75,1333,44216.2926744861
111,0062P,0062,P,M,,,31.356,37.424,55,1365,12524.0503902264
112,0089P,0089,P,M,,,459.308,460.881,40,1384,3354.89268044343
113,089AP,089A,P,M,,,1.79,2.455,45,301,1352.39875254198
114,0074P,0074,P,M,,,0,0.546,30,319,1177.08406988129
115,0191P,0191,P,M,,,353.145,353.444,45,350,636.825436496964
116,0089P,0089,P,M,,,263.211,263.842,45,1384,1318.35788277389
117,0093P,0093,P,M,,,0,0.355,35,1387,797.429236985436
118,0248P,0248,P,M,,,3.694,12.557,65,1279,18831.0565493828
119,0040P,0040,P,M,,,113.442,113.866,40,310,893.481929456285
120,0134P,0134,P,M,,,7.041,8.626,35,1412,3426.52144846679
121,0191P,0191,P,M,,,94.416,97.431,55,350,6182.99138751218
122,0087P,0087,P,M,,,37.509,38.159,50,323,1294.75007907802
123,0056P,0056,P,M,,,59.702,60.724,45,314,2073.04697954015
124,0124P,0124,P,M,,,7.328,7.956,35,333,1310.67093094631
125,0172P,0172,P,M,,,6.306,6.508,50,1436,427.692868955933
126,0030P,0030,P,M,,,113.416,119.507,55,1343,13220.2476727094
127,0089P,0089,P,M,,,63.066,63.986,35,1384,1885.01575963356
128,0115P,0115,P,M,,,6.023,7.618,40,1401,3358.90764209841
129,0292P,0292,P,M,,,0,1.721,25,365,3731.84257401808
130,0018P,0018,P,M,,,12.793,19.889,65,304,14388.0538197587
131,0030P,0030,P,M,,,56.361,90.832,65,1343,74491.7395380312
132,0080P,0080,P,M,,,155.536,170.231,70,321,31421.0862193395
133,0218P,0218,P,M,,,7.58,8.223,35,356,1384.1689580165
134,0036P,0036,P,M,,,48.558,51.257,60,1347,5702.621472446
135,0070P,0070,P,M,,,146.477,231.588,80,1370,176277.201950975
