OBJECTID,Route,Direction,Exit_Num,Ramp_Num,Beg_MP,End_MP,Speed_Limit,Name,Type,Shape__Length
1,089APM,P,,,2.468,2.864,35,089A,M,637.3023846
2,089APM,P,,,0,1.799,55,089A,M,2895.216195
3,0491PM,P,,,2.379,17.069442,65,491,M,23642.02188
4,0491PM,P,,,0.407,1.174,40,491,M,1234.368855
5,0491PM,P,,,0,0.407,30,491,M,655.0042534
6,0317PM,P,,,0,1.592526,,317,M,2562.927374
7,0316PM,P,,,0,3.548517,40,316,M,5710.795285
8,0315PM,P,,,0,1.771505,45,315,M,2850.966887
9,0313PM,P,,,3.519,22.467888,50,313,M,30495.33929
10,0313PM,P,,,0.642,1.476,25,313,M,1342.196276
11,0313PM,P,,,0,0.642,15,313,M,1033.200485
12,0312PM,P,,,0,0.585308,,312,M,941.9631701
13,0311PM,P,,,2.382,3.902626,30,311,M,2447.214289
14,0310PM,P,,,0,0.353423,,310,M,568.7807097
15,0301PM,P,,,0,0.377,15,301,M,606.7241248
16,0299PM,P,,,0,0.998628,,299,M,1607.138957
17,0294PM,P,,,0,0.385746,,294,M,620.7994802
18,0292PM,P,,,0,1.758159,25,292,M,2829.487959
19,0290PM,P,,,0,1.195965,,290,M,1924.723681
20,0289PM,P,,,1.723,1.92862,25,289,M,330.912929
21,0289PM,P,,,0,1.723,30,289,M,2772.905403
22,0287PM,P,,,0,0.764477,40,287,M,1230.308463
23,0491PM,P,,,1.174,2.379,55,491,M,1939.264075
24,0285PM,P,,,0,0.34521,,285,M,555.5621685
25,0284PM,P,,,1.632,1.635537,25,284,M,5.81677041
26,0279PM,P,,,0,9.946,55,279,M,16006.56713
27,0276PM,P,,,74.023,91.879029,65,276,M,28736.55125
28,0276PM,P,,,73.09,74.023,55,276,M,1501.520711
29,0276PM,P,,,55.902,66.034,65,276,M,16305.90601
30,0276PM,P,,,34.628,55.902,45,276,M,34237.25259
31,0276PM,P,,,0,34.628,65,276,M,55728.47563
32,0274PM,P,,,0.786,1.246961,50,274,M,741.8466494
33,0273PM,P,,,2.613,3.062547,40,273,M,723.4775493
34,0271PM,P,,,3.354,4.214,40,271,M,1384.03844
35,0269PM,P,,,1.548,1.80056,40,269,M,406.9082979
36,0269PM,P,,,0,1.274,40,269,M,2049.366295
37,0309PM,P,,,0,0.357673,,309,M,575.620558
38,0266PM,P,,,2.437,8.12905,40,266,M,9160.484994
39,0266PM,P,,,0,0.905,40,266,M,1456.458963
40,0264PM,P,,,0.706,4.295,55,264,M,5775.946877
41,0261PM,P,,,9.648,32.644371,55,261,M,37009.14512
42,0261PM,P,,,6.635,7.145,30,261,M,820.7668946
43,0261PM,P,,,0,6.635,55,261,M,10678.01908
44,0260PM,P,,,1.962,4.190274,55,260,M,3586.065317
45,0260PM,P,,,0.731,1.962,35,260,M,1981.107037
46,0260PM,P,,,0.404,0.731,40,260,M,526.2569938
47,0260PM,P,,,0,0.404,45,260,M,650.1758063
48,0259PM,P,,,0,0.349564,35,259,M,562.5704936
49,0258PM,P,,,0.933,2.032323,60,258,M,1769.193794
50,0257PM,P,,,66.903,69.374168,55,257,M,3976.966044
51,0257PM,P,,,0.807,65.764,65,257,M,104538.3669
52,0257PM,P,,,0.534,0.807,45,257,M,439.352125
53,0256PM,P,,,2.581,2.834,50,256,M,407.1640423
54,0256PM,P,,,1.768,2.581,35,256,M,1308.399749
55,0256PM,P,,,1.436,1.768,50,256,M,534.3031011
56,0252PM,P,,,1.223,4.276,50,252,M,4913.3373
57,0252PM,P,,,0,1.223,55,252,M,1968.231492
58,0248PM,P,,,3.7,12.576,65,248,M,14284.56613
59,0248PM,P,,,3.439,3.7,55,248,M,420.0394493
60,0248PM,P,,,2.806,3.439,45,248,M,1018.717493
61,0248PM,P,,,1.429,2.806,50,248,M,2216.070378
62,0248PM,P,,,0,1.429,35,248,M,2299.757539
63,0241PM,P,,,0,1.55505,40,241,M,2502.615993
64,0240PM,P,,,0,0.948,50,240,M,1525.660988
65,0235PM,P,,,0,2.9,45,235,M,4667.107022
66,0232PM,P,,,2.304,2.434299,25,232,M,209.6953508
67,0231PM,P,,,0,0.086575,,231,M,139.3285146
68,0228PM,P,,,0,1.810128,35,228,M,2913.12454
69,0319PM,P,,,0.844,1.201867,25,319,M,575.9324959
70,0227PM,P,,,0,0.58,40,227,M,933.4217074
71,0226PM,P,,,0,3.028962,40,226,M,4874.651723
72,0225PM,P,,,0,0.765163,45,225,M,1231.413669
73,0224PM,P,,,6.924,7.405,45,224,M,774.0954682
74,0224PM,P,,,6.224,6.924,40,224,M,1126.54323
75,0224PM,P,,,4.141,4.772,25,224,M,1015.497411
76,0224PM,P,,,1.173,2.91,25,224,M,2795.436418
77,0222PM,P,,,2.025,3.331165,30,222,M,2102.07227
78,0219PM,P,,,0,1.66809,45,219,M,2684.536765
79,0218PM,P,,,7.565,8.20689,35,218,M,1033.024249
80,0218PM,P,,,7.038,7.565,40,218,M,848.1254275
81,0218PM,P,,,4.687,7.038,55,218,M,3783.575949
82,0218PM,P,,,0,4.687,60,218,M,7543.009995
83,0215PM,P,,,2.425,29.000492,70,215,M,42769.19463
84,0215PM,P,,,0,2.425,65,215,M,3902.667066
85,0215NM,N,,,0,2.174,65,215,M,3498.720693
86,0211PM,P,,,0,9.213,40,211,M,14826.91589
87,0210PM,P,,,11.453,13.549608,25,210,M,3374.171301
88,0210PM,P,,,9.883,11.453,30,210,M,2526.674742
89,0210PM,P,,,0,3.68,50,210,M,5922.397077
90,0209PM,P,,,12.335,12.788,40,209,M,729.0346043
91,0209PM,P,,,4.538,11.358,40,209,M,10975.74865
92,0318PM,P,,,2.22,2.220107,30,318,M,0.171813852
93,0209PM,P,,,3.95,4.538,50,209,M,946.2961805
94,0209PM,P,,,1.979,3.95,55,209,M,3172.023294
95,0209PM,P,,,0,1.191,30,209,M,1916.732097
96,0224PM,P,,,5.294,6.224,35,224,M,1496.693275
97,0208PM,P,,,0,10.196519,55,208,M,16409.74004
98,0204PM,P,,,0,3.733,40,204,M,6007.693275
99,0304PM,P,,,0,0.093361,,304,M,150.2492828
100,0203PM,P,,,1.477,5.414,40,203,M,6336.000733
101,0203PM,P,,,0,1.477,50,203,M,2377.005703
102,0202PM,P,,,0,1.697735,45,202,M,2732.244562
103,0201PM,P,,,16.815,17.695,40,201,M,1417.16998
104,0201PM,P,,,7.375,9.217,55,201,M,2964.418282
105,0201NM,N,,,10.008,16.741206,65,201,M,10836.06672
106,0201NM,N,,,0,7.494,60,201,M,12060.44812
107,0200PM,P,,,0,1.578917,55,200,M,2541.025618
108,0199PM,P,,,20.109,21.952074,50,199,M,2966.146724
109,0198PM,P,,,7.775,13.697,40,198,M,9530.553633
110,0198PM,P,,,6.55,7.775,55,198,M,1971.450319
111,0198PM,P,,,5.178,5.668,30,198,M,788.5801008
