OBJECTID,LAYER_ID,LAYER_SEGMENT_ID,SHORT_NAME,LAYER_CODE,HPMS_DATA_ITEM,ROUTE_DIR_ID,ROUTE_NAME,START_ACCUM,END_ACCUM,URBAN_CODE,URBAN_DESC,ERR_CD
195760998,14,6818748,Urban Code,URBAN-CODE,Urban_Code,1333,0015,1.507,15.922,77446,St. George,0
195760999,14,6818749,Urban Code,URBAN-CODE,Urban_Code,1333,0015,376.594,383.218,99998,Small Urban,0
195761000,14,6818750,Urban Code,URBAN-CODE,Urban_Code,1333,0015,0,1.507,99999,Rurall,0
195761001,14,6818751,Urban Code,URBAN-CODE,Urban_Code,1333,0015,20.797,51.157,99999,Rurall,0
195761002,14,6818752,Urban Code,URBAN-CODE,Urban_Code,1333,0015,66.812,221.719,99999,Rurall,0
195761003,14,6819147,Urban Code,URBAN-CODE,Urban_Code,2336,1120,2.498,3.018,99998,Small Urban,0
195761004,14,6819148,Urban Code,URBAN-CODE,Urban_Code,2336,1120,0,2.498,99999,Rurall,0
195761005,14,6819149,Urban Code,URBAN-CODE,Urban_Code,5928,1121,0,0.753,99998,Small Urban,0
195761006,14,6819150,Urban Code,URBAN-CODE,Urban_Code,1608,1122,0,6.19,99999,Rurall,0
195761007,14,6819151,Urban Code,URBAN-CODE,Urban_Code,2202,1124,0,4.233,99998,Small Urban,0
195761008,14,6819152,Urban Code,URBAN-CODE,Urban_Code,5927,1125,0,0.996,99998,Small Urban,0
195761009,14,6819153,Urban Code,URBAN-CODE,Urban_Code,2203,1126,0,1.711,99998,Small Urban,0
195761010,14,6819154,Urban Code,URBAN-CODE,Urban_Code,2500,1127,0,1.801,99998,Small Urban,0
195761011,14,6819155,Urban Code,URBAN-CODE,Urban_Code,1609,1128,0,1.473,99998,Small Urban,0
195761012,14,6819176,Urban Code,URBAN-CODE,Urban_Code,1615,1170,0,1.564,50959,Logan,0
195761013,14,6819177,Urban Code,URBAN-CODE,Urban_Code,1615,1170,1.564,4.234,99999,Rurall,0
195761014,14,6819178,Urban Code,URBAN-CODE,Urban_Code,2212,1172,0,1.82,50959,Logan,0
195761015,14,6819179,Urban Code,URBAN-CODE,Urban_Code,1616,1174,0,1.838,50959,Logan,0
195761016,14,6819180,Urban Code,URBAN-CODE,Urban_Code,5929,1175,0,1.138,50959,Logan,0
195761061,14,6818536,Urban Code,URBAN-CODE,Urban_Code,1871,2478,0,9.717,99999,Rurall,0
195761116,14,6818767,Urban Code,URBAN-CODE,Urban_Code,306,0025,0,9.995,99999,Rurall,0
195761117,14,6818768,Urban Code,URBAN-CODE,Urban_Code,1341,0026,0,3.724,64945,Ogden - Layton,0
195761118,14,6818790,Urban Code,URBAN-CODE,Urban_Code,310,0040,140.104,150.564,99998,Small Urban,0
195761119,14,6818791,Urban Code,URBAN-CODE,Urban_Code,310,0040,0,0.147,99999,Rurall,0
195761120,14,6818792,Urban Code,URBAN-CODE,Urban_Code,310,0040,4.436,15.277,99999,Rurall,0
195761121,14,6819197,Urban Code,URBAN-CODE,Urban_Code,1621,1192,0,3.288,50959,Logan,0
195761122,14,6819198,Urban Code,URBAN-CODE,Urban_Code,5932,1193,0,1.464,50959,Logan,0
195761123,14,6819199,Urban Code,URBAN-CODE,Urban_Code,449,1195,0,0.564,50959,Logan,0
195761124,14,6819200,Urban Code,URBAN-CODE,Urban_Code,2507,1196,0,0.64,50959,Logan,0
195761125,14,6819201,Urban Code,URBAN-CODE,Urban_Code,359,1197,0,4.687,50959,Logan,0
195761126,14,6819202,Urban Code,URBAN-CODE,Urban_Code,2216,1200,0,1.625,50959,Logan,0
195761127,14,6819204,Urban Code,URBAN-CODE,Urban_Code,2217,1206,0,0.73,50959,Logan,0
195761128,14,6819205,Urban Code,URBAN-CODE,Urban_Code,1624,1208,0,2.301,50959,Logan,0
195761129,14,6819206,Urban Code,URBAN-CODE,Urban_Code,2218,1210,0,0.89,50959,Logan,0
195761130,14,6818545,Urban Code,URBAN-CODE,Urban_Code,5978,2491,0,6.084,99999,Rurall,0
195761095,14,6818762,Urban Code,URBAN-CODE,Urban_Code,305,0021,0,107.575,99999,Rurall,0
195761096,14,6819165,Urban Code,URBAN-CODE,Urban_Code,2206,1138,1.01,4,99999,Rurall,0
195761097,14,6819166,Urban Code,URBAN-CODE,Urban_Code,5925,1139,0,1.742,99999,Rurall,0
195761098,14,6818788,Urban Code,URBAN-CODE,Urban_Code,310,0040,15.277,21.827,99998,Small Urban,0
195761099,14,6818789,Urban Code,URBAN-CODE,Urban_Code,310,0040,0.147,4.436,99998,Small Urban,0
195761100,14,6819191,Urban Code,URBAN-CODE,Urban_Code,1620,1186,0,5.361,99999,Rurall,0
195761101,14,6819192,Urban Code,URBAN-CODE,Urban_Code,2504,1187,0,3.063,99999,Rurall,0
195761102,14,6819193,Urban Code,URBAN-CODE,Urban_Code,2505,1188,0,3.39,99999,Rurall,0
195761103,14,6819194,Urban Code,URBAN-CODE,Urban_Code,5965,1189,0,0.771,50959,Logan,0
195761104,14,6819195,Urban Code,URBAN-CODE,Urban_Code,2215,1190,0,4.12,50959,Logan,0
195761105,14,6819196,Urban Code,URBAN-CODE,Urban_Code,5933,1191,0,0.551,50959,Logan,0
195761106,14,6818539,Urban Code,URBAN-CODE,Urban_Code,6652,2481,0,3.426,99999,Rurall,0
195761107,14,6818540,Urban Code,URBAN-CODE,Urban_Code,1872,2482,0,2.648,99999,Rurall,0
195761108,14,6818541,Urban Code,URBAN-CODE,Urban_Code,6033,2484,0,2.8,99999,Rurall,0
195761110,14,6818542,Urban Code,URBAN-CODE,Urban_Code,1873,2486,0,1.249,99999,Rurall,0
195761111,14,6818543,Urban Code,URBAN-CODE,Urban_Code,1874,2488,0,3.414,99999,Rurall,0
195761112,14,6818763,Urban Code,URBAN-CODE,Urban_Code,1338,0022,0,6.852,99999,Rurall,0
195761113,14,6818764,Urban Code,URBAN-CODE,Urban_Code,1339,0023,0,2.688,50959,Logan,0
195761114,14,6818765,Urban Code,URBAN-CODE,Urban_Code,1339,0023,2.688,29.89,99999,Rurall,0
195761115,14,6818766,Urban Code,URBAN-CODE,Urban_Code,1340,0024,0,160.294,99999,Rurall,0
195761247,14,6820135,Urban Code,URBAN-CODE,Urban_Code,1991,3166,0,6.623,77446,St. George,0
195761248,14,6820244,Urban Code,URBAN-CODE,Urban_Code,2027,3404,0,5.801,64945,Ogden - Layton,0
195761249,14,6820245,Urban Code,URBAN-CODE,Urban_Code,6205,3406,0,0.86,64945,Ogden - Layton,0
195761250,14,6820246,Urban Code,URBAN-CODE,Urban_Code,6206,3408,0,2.29,64945,Ogden - Layton,0
195761251,14,6820247,Urban Code,URBAN-CODE,Urban_Code,6207,3410,0,2.29,64945,Ogden - Layton,0
195761252,14,6820248,Urban Code,URBAN-CODE,Urban_Code,5616,3412,0,2.15,64945,Ogden - Layton,0
195761062,14,6818753,Urban Code,URBAN-CODE,Urban_Code,1333,0015,228.055,239.93,99999,Rurall,0
195761063,14,6818754,Urban Code,URBAN-CODE,Urban_Code,1333,0015,368.147,376.594,99999,Rurall,0
195761064,14,6818755,Urban Code,URBAN-CODE,Urban_Code,1333,0015,383.218,400.592,99999,Rurall,0
195761065,14,6818756,Urban Code,URBAN-CODE,Urban_Code,1334,0016,0,29.359,99999,Rurall,0
195761066,14,6818757,Urban Code,URBAN-CODE,Urban_Code,1335,0017,0,4.133,99998,Small Urban,0
195761067,14,6819156,Urban Code,URBAN-CODE,Urban_Code,2501,1129,0,3.127,99998,Small Urban,0
195761068,14,6819157,Urban Code,URBAN-CODE,Urban_Code,1610,1130,0,8.298,99999,Rurall,0
195761069,14,6819158,Urban Code,URBAN-CODE,Urban_Code,1611,1132,0,0.245,99998,Small Urban,0
195761070,14,6819159,Urban Code,URBAN-CODE,Urban_Code,1611,1132,0.245,3.761,99999,Rurall,0
195761071,14,6819160,Urban Code,URBAN-CODE,Urban_Code,1612,1133,0,1.494,99999,Rurall,0
195761072,14,6819161,Urban Code,URBAN-CODE,Urban_Code,2204,1134,0,1.9,99999,Rurall,0
195761073,14,6819164,Urban Code,URBAN-CODE,Urban_Code,2206,1138,0,1.01,99998,Small Urban,0
